label_disease_nm,gender,age,breed,eye_position,age_mean
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
